,date,trips_per_day,avgTemp,month,season
0,2022-01-01,20528,11.6,1,winter
1,2022-01-02,43177,11.4,1,winter
2,2022-01-03,33315,1.4,1,winter
3,2022-01-04,36841,-2.7,1,winter
4,2022-01-05,34450,3.2,1,winter
5,2022-01-06,45362,4.9,1,winter
6,2022-01-07,17420,0.7,1,winter
7,2022-01-08,24475,-2.5,1,winter
8,2022-01-09,21652,1.4,1,winter
9,2022-01-10,35086,1.6,1,winter
10,2022-01-11,27250,-5.4,1,winter
11,2022-01-12,41035,-1.9,1,winter
12,2022-01-13,51467,4.0,1,winter
13,2022-01-14,46420,4.8,1,winter
14,2022-01-15,23450,-6.7,1,winter
15,2022-01-16,21330,-8.0,1,winter
16,2022-01-17,29738,3.9,1,winter
17,2022-01-18,43845,1.8,1,winter
18,2022-01-19,55129,3.2,1,winter
19,2022-01-20,34684,5.1,1,winter
20,2022-01-21,34840,-6.0,1,winter
21,2022-01-22,32775,-5.9,1,winter
22,2022-01-23,33648,-0.7,1,winter
23,2022-01-24,42470,-0.2,1,winter
24,2022-01-25,51820,3.6,1,winter
25,2022-01-26,43120,-2.3,1,winter
26,2022-01-27,44892,-4.2,1,winter
27,2022-01-28,35598,0.1,1,winter
28,2022-01-29,2868,-4.8,1,winter
29,2022-01-30,9546,-7.099999999999999,1,winter
30,2022-01-31,22683,-3.4,1,winter
31,2022-02-01,29821,-1.7,2,winter
32,2022-02-02,42679,2.3,2,winter
33,2022-02-03,27153,6.4,2,winter
34,2022-02-04,20956,5.8,2,winter
35,2022-02-05,31827,-2.8,2,winter
36,2022-02-06,30116,-4.8,2,winter
37,2022-02-07,31524,0.5,2,winter
38,2022-02-08,53303,4.1,2,winter
39,2022-02-09,57301,2.8,2,winter
40,2022-02-10,63290,6.3,2,winter
41,2022-02-11,65926,8.6,2,winter
42,2022-02-12,69744,11.8,2,winter
43,2022-02-13,20783,2.8,2,winter
44,2022-02-14,35595,-4.3,2,winter
45,2022-02-15,41780,-4.7,2,winter
46,2022-02-16,54902,1.6000000000000003,2,winter
47,2022-02-17,68850,11.6,2,winter
48,2022-02-18,48167,9.9,2,winter
49,2022-02-19,33210,0.1,2,winter
50,2022-02-20,31784,-2.6,2,winter
51,2022-02-21,53548,4.1,2,winter
52,2022-02-22,37227,5.6,2,winter
53,2022-02-23,67802,14.4,2,winter
54,2022-02-24,45847,1.1,2,winter
55,2022-02-25,31231,0.8,2,winter
56,2022-02-26,42518,-1.1,2,winter
57,2022-02-27,43860,2.4,2,winter
58,2022-02-28,46761,0.8,2,winter
59,2022-03-01,57167,2.6,3,winter
60,2022-03-02,68474,7.700000000000001,3,winter
61,2022-03-03,56609,5.6,3,winter
62,2022-03-04,50888,-1.9,3,winter
63,2022-03-05,52421,3.1,3,winter
64,2022-03-06,55552,9.6,3,winter
65,2022-03-07,69224,18.2,3,winter
66,2022-03-08,63480,8.7,3,winter
67,2022-03-09,28715,3.2,3,winter
68,2022-03-10,67584,4.0,3,winter
69,2022-03-11,70520,7.2,3,winter
70,2022-03-12,20199,5.1,3,winter
71,2022-03-13,31622,-2.3,3,winter
72,2022-03-14,64578,5.3,3,winter
73,2022-03-15,80462,11.6,3,winter
74,2022-03-16,83044,13.6,3,winter
75,2022-03-17,50988,8.2,3,winter
76,2022-03-18,94459,13.9,3,winter
77,2022-03-19,78941,13.1,3,winter
78,2022-03-20,66511,14.3,3,winter
79,2022-03-21,74561,10.4,3,winter
80,2022-03-22,76854,10.7,3,winter
81,2022-03-23,62128,7.2,3,winter
82,2022-03-24,46866,5.7,3,winter
83,2022-03-25,76567,9.6,3,winter
84,2022-03-26,63296,10.4,3,winter
85,2022-03-27,46591,5.9,3,winter
86,2022-03-28,39021,-1.5,3,winter
87,2022-03-29,49573,-1.2,3,winter
88,2022-03-30,62547,2.6,3,winter
89,2022-03-31,73962,9.9,3,winter
90,2022-04-01,69948,13.1,4,winter
91,2022-04-02,74373,7.199999999999999,4,winter
92,2022-04-03,37885,7.0,4,winter
93,2022-04-04,70407,7.6,4,winter
94,2022-04-05,74023,9.7,4,winter
95,2022-04-06,49607,8.6,4,winter
96,2022-04-07,36178,9.1,4,winter
97,2022-04-08,90005,12.8,4,winter
98,2022-04-09,68627,11.4,4,winter
99,2022-04-10,58241,8.6,4,winter
100,2022-04-11,76995,8.8,4,winter
101,2022-04-12,95079,13.4,4,winter
102,2022-04-13,100207,15.4,4,winter
103,2022-04-14,92229,16.3,4,winter
104,2022-04-15,101217,15.7,4,winter
105,2022-04-16,83267,15.7,4,winter
106,2022-04-17,55126,8.3,4,winter
107,2022-04-18,57017,7.900000000000001,4,winter
108,2022-04-19,60193,7.6,4,winter
109,2022-04-20,87155,9.4,4,winter
110,2022-04-21,79379,10.6,4,winter
111,2022-04-22,99230,14.6,4,winter
112,2022-04-23,96062,13.3,4,winter
113,2022-04-24,84612,12.8,4,winter
114,2022-04-25,74411,10.4,4,winter
115,2022-04-26,76717,11.5,4,winter
116,2022-04-27,84394,11.6,4,winter
117,2022-04-28,80473,8.2,4,winter
118,2022-04-29,88923,10.4,4,winter
119,2022-04-30,103311,12.900000000000002,4,winter
120,2022-05-01,96171,13.599999999999998,5,spring
121,2022-05-02,56005,12.1,5,spring
122,2022-05-03,94785,12.4,5,spring
123,2022-05-04,81643,12.0,5,spring
124,2022-05-05,112766,17.2,5,spring
125,2022-05-06,36052,14.799999999999999,5,spring
126,2022-05-07,21179,10.0,5,spring
127,2022-05-08,64648,10.4,5,spring
128,2022-05-09,96396,13.5,5,spring
129,2022-05-10,107183,15.4,5,spring
130,2022-05-11,109474,16.1,5,spring
131,2022-05-12,113054,17.1,5,spring
132,2022-05-13,97866,16.0,5,spring
133,2022-05-14,81112,17.9,5,spring
134,2022-05-15,110070,18.8,5,spring
135,2022-05-16,80919,20.4,5,spring
136,2022-05-17,119517,19.7,5,spring
137,2022-05-18,119647,17.8,5,spring
138,2022-05-19,91920,15.5,5,spring
139,2022-05-20,86804,15.4,5,spring
140,2022-05-21,116512,21.2,5,spring
141,2022-05-22,104657,27.8,5,spring
142,2022-05-23,103011,21.0,5,spring
143,2022-05-24,106634,17.4,5,spring
144,2022-05-25,116177,16.2,5,spring
145,2022-05-26,113192,16.4,5,spring
146,2022-05-27,90603,20.2,5,spring
147,2022-05-28,83962,20.4,5,spring
148,2022-05-29,102152,20.7,5,spring
149,2022-05-30,101779,23.3,5,spring
150,2022-05-31,102148,28.3,5,spring
151,2022-06-01,89874,17.8,6,summer
152,2022-06-02,100134,20.3,6,summer
153,2022-06-03,122992,19.5,6,summer
154,2022-06-04,129120,21.9,6,summer
155,2022-06-05,117382,20.0,6,summer
156,2022-06-06,112184,22.2,6,summer
157,2022-06-07,105632,21.8,6,summer
158,2022-06-08,126221,23.7,6,summer
159,2022-06-09,117023,24.4,6,summer
160,2022-06-10,124509,21.8,6,summer
161,2022-06-11,117090,21.8,6,summer
162,2022-06-12,91864,20.5,6,summer
163,2022-06-13,113551,24.2,6,summer
164,2022-06-14,125824,23.9,6,summer
165,2022-06-15,130381,23.3,6,summer
166,2022-06-16,104251,20.300000000000004,6,summer
167,2022-06-17,121864,25.2,6,summer
168,2022-06-18,110694,21.7,6,summer
169,2022-06-19,107421,17.3,6,summer
170,2022-06-20,116016,20.5,6,summer
171,2022-06-21,101490,22.1,6,summer
172,2022-06-22,96659,19.1,6,summer
173,2022-06-23,120020,19.2,6,summer
174,2022-06-24,126595,21.9,6,summer
175,2022-06-25,120194,25.8,6,summer
176,2022-06-26,107684,27.0,6,summer
177,2022-06-27,81324,24.3,6,summer
178,2022-06-28,123828,22.4,6,summer
179,2022-06-29,124052,23.9,6,summer
180,2022-06-30,118775,25.4,6,summer
181,2022-07-01,105649,28.100000000000005,7,summer
182,2022-07-02,90095,28.7,7,summer
183,2022-07-03,90566,26.9,7,summer
184,2022-07-04,95652,25.6,7,summer
185,2022-07-05,90744,25.900000000000002,7,summer
186,2022-07-06,115477,26.0,7,summer
187,2022-07-07,117160,24.2,7,summer
188,2022-07-08,100610,23.5,7,summer
189,2022-07-09,125221,24.7,7,summer
190,2022-07-10,117381,23.4,7,summer
191,2022-07-11,113746,24.0,7,summer
192,2022-07-12,114400,25.8,7,summer
193,2022-07-13,123484,28.9,7,summer
194,2022-07-14,123137,26.6,7,summer
195,2022-07-15,121947,26.1,7,summer
196,2022-07-16,113532,24.3,7,summer
197,2022-07-17,112874,25.7,7,summer
198,2022-07-18,85496,26.199999999999996,7,summer
199,2022-07-19,122349,28.2,7,summer
200,2022-07-20,120557,31.3,7,summer
201,2022-07-21,111536,29.800000000000004,7,summer
202,2022-07-22,114629,30.899999999999995,7,summer
203,2022-07-23,109620,30.3,7,summer
204,2022-07-24,101678,31.1,7,summer
205,2022-07-25,98720,29.8,7,summer
206,2022-07-26,125467,25.9,7,summer
207,2022-07-27,127849,25.5,7,summer
208,2022-07-28,120232,26.7,7,summer
209,2022-07-29,117211,28.2,7,summer
210,2022-07-30,125377,26.7,7,summer
211,2022-07-31,114552,26.3,7,summer
212,2022-08-01,100341,23.1,8,summer
213,2022-08-02,123611,26.4,8,summer
214,2022-08-03,127685,27.6,8,summer
215,2022-08-04,120641,29.1,8,summer
216,2022-08-05,116676,29.3,8,summer
217,2022-08-06,124611,29.6,8,summer
218,2022-08-07,96760,29.6,8,summer
219,2022-08-08,106411,30.300000000000004,8,summer
